#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29FCF
#Date Time: 2022-04-06 19:20:10.910
#Sample rate: 4e+06Hz
#Samples: 4096

Time (s),Bus,nRESET,MODE,nCSW,nCSR,nINT
-9.725000000000001e-05,b01000011,1,1,1,0,1
-9.7e-05,b01000011,1,1,1,0,1
-9.674999999999999e-05,b01000011,1,1,1,0,1
-9.65e-05,b01000011,1,1,1,0,1
-9.624999999999999e-05,b01000011,1,1,1,0,1
-9.6e-05,b01000011,1,1,1,0,1
-9.575e-05,b01000011,1,1,1,0,1
-9.55e-05,b01000011,1,1,1,0,1
-9.525e-05,b01000011,1,1,1,0,1
-9.500000000000001e-05,b01000011,1,1,1,0,1
-9.475e-05,b01000011,1,1,1,0,1
-9.450000000000001e-05,b01000011,1,1,1,0,1
-9.425e-05,b01000011,1,1,1,0,1
-9.399999999999999e-05,b01000011,1,1,1,0,1
-9.375e-05,b01000011,1,1,1,0,1
-9.35e-05,b01000011,1,1,1,0,1
-9.325e-05,b01000011,1,1,1,0,1
-9.3e-05,b01000011,1,1,1,0,1
-9.275e-05,b01000011,1,1,1,0,1
-9.25e-05,b01000011,1,1,1,0,1
-9.225000000000001e-05,b01000011,1,1,1,0,1
-9.2e-05,b01000011,1,1,1,0,1
-9.174999999999999e-05,b01000011,1,1,1,0,1
-9.15e-05,b01000011,1,1,1,0,1
-9.125e-05,b01000011,1,1,1,0,1
-9.1e-05,b01000011,1,1,1,0,1
-9.075e-05,b01000011,1,1,1,0,1
-9.05e-05,b01000011,1,1,1,0,1
-9.025e-05,b01000011,1,1,1,0,1
-9.000000000000001e-05,b01000011,1,1,1,0,1
